Datum,Tid (UTC),Lufttemperatur,Kvalitet
2021-02-27,18:00:00,5.3,G
2021-02-28,06:00:00,2.9,G
2021-02-28,18:00:00,8.2,G
2021-03-01,06:00:00,1.9,G
2021-03-01,18:00:00,5.4,G
2021-03-02,06:00:00,3.7,G
2021-03-02,18:00:00,6.3,G
2021-03-03,06:00:00,1.8,G
2021-03-03,18:00:00,1.3,G
2021-03-04,06:00:00,-1.5,G
2021-03-04,18:00:00,-0.6,G
2021-03-05,06:00:00,-3.2,G
2021-03-05,18:00:00,-0.5,G
2021-03-06,06:00:00,0.6,G
2021-03-06,18:00:00,4.7,G
2021-03-07,06:00:00,-1.0,G
2021-03-07,18:00:00,1.2,G
2021-03-08,06:00:00,-2.4,G
2021-03-08,18:00:00,0.2,G
2021-03-09,06:00:00,-2.0,G
2021-03-09,18:00:00,-1.2,G
2021-03-10,06:00:00,-5.6,G
2021-03-10,18:00:00,-3.9,G
2021-03-11,06:00:00,-0.4,G
2021-03-11,18:00:00,-0.1,G
2021-03-12,06:00:00,2.2,G
2021-03-12,18:00:00,4.6,G
2021-03-13,06:00:00,1.6,G
2021-03-13,18:00:00,2.9,G
2021-03-14,06:00:00,0.2,G
2021-03-14,18:00:00,4.8,G
2021-03-15,06:00:00,3.3,G
2021-03-15,18:00:00,1.8,G
2021-03-16,06:00:00,-0.9,G
2021-03-16,18:00:00,3.4,G
2021-03-17,06:00:00,0.1,G
2021-03-17,18:00:00,0.6,G
2021-03-18,06:00:00,-0.8,G
2021-03-18,18:00:00,-1.4,G
2021-03-19,06:00:00,-3.7,G
2021-03-19,18:00:00,-1.0,G
2021-03-20,06:00:00,-0.6,G
2021-03-20,18:00:00,6.0,G
2021-03-21,06:00:00,2.4,G
2021-03-21,18:00:00,4.4,G
2021-03-22,06:00:00,2.2,G
