Date,Hours,SE1,SE2,SE3,SE4,SE,TotalPowerProduction,Date,Tid (UTC),Lufttemperatur
2015-02-05,06 - 07,1208.0,2705.0,13056.0,3776.0,20744.0,19058.0,2015-02-05,06:00:00,-1.4
2015-02-05,18 - 19,1307.0,2571.0,14695.0,4230.0,22803.0,21191.0,2015-02-05,18:00:00,-3.6
2015-02-06,06 - 07,1154.0,2522.0,12982.0,3974.0,20632.0,19810.0,2015-02-06,06:00:00,-1.0
2015-02-06,18 - 19,1183.0,2320.0,13468.0,3921.0,20893.0,21407.0,2015-02-06,18:00:00,0.2
2015-02-07,06 - 07,1207.0,2124.0,10390.0,2784.0,16505.0,17142.0,2015-02-07,06:00:00,-1.0
2015-02-07,18 - 19,1341.0,2417.0,12519.0,3599.0,19875.0,20630.0,2015-02-07,18:00:00,0.2
2015-02-08,06 - 07,1219.0,2253.0,10968.0,3065.0,17506.0,16702.0,2015-02-08,06:00:00,-3.0
2015-02-08,18 - 19,1266.0,2158.0,12342.0,3624.0,19391.0,20957.0,2015-02-08,18:00:00,-1.2
2015-02-09,06 - 07,1431.0,2479.0,11808.0,3300.0,19018.0,17619.0,2015-02-09,06:00:00,2.6
2015-02-09,18 - 19,1515.0,2389.0,12943.0,3674.0,20521.0,20630.0,2015-02-09,18:00:00,4.4
2015-02-10,06 - 07,1304.0,2181.0,11989.0,3247.0,18721.0,19122.0,2015-02-10,06:00:00,1.7
2015-02-10,18 - 19,1394.0,2305.0,12909.0,3497.0,20105.0,20962.0,2015-02-10,18:00:00,3.2
2015-02-11,06 - 07,1296.0,2208.0,12206.0,3402.0,19112.0,19644.0,2015-02-11,06:00:00,0.0
2015-02-11,18 - 19,1318.0,2260.0,12976.0,3868.0,20422.0,20396.0,2015-02-11,18:00:00,3.2
2015-02-12,06 - 07,1013.0,2126.0,11567.0,3391.0,18097.0,19722.0,2015-02-12,06:00:00,2.1
2015-02-12,18 - 19,1290.0,2604.0,13217.0,3840.0,20951.0,19206.0,2015-02-12,18:00:00,2.0
2015-02-13,06 - 07,1347.0,2394.0,11754.0,3488.0,18984.0,19466.0,2015-02-13,06:00:00,1.6
2015-02-13,18 - 19,1357.0,2335.0,12952.0,3836.0,20480.0,19364.0,2015-02-13,18:00:00,0.8
2015-02-14,06 - 07,1216.0,2087.0,10209.0,2974.0,16486.0,16379.0,2015-02-14,06:00:00,0.0
2015-02-14,18 - 19,1375.0,2276.0,12390.0,3545.0,19586.0,19196.0,2015-02-14,18:00:00,1.6
2015-02-15,06 - 07,1181.0,2051.0,10044.0,2789.0,16065.0,16199.0,2015-02-15,06:00:00,-0.3
2015-02-15,18 - 19,1356.0,2275.0,12518.0,3638.0,19787.0,20906.0,2015-02-15,18:00:00,-1.1
2015-02-16,06 - 07,1488.0,2395.0,12500.0,3487.0,19871.0,19983.0,2015-02-16,06:00:00,-1.5
2015-02-16,18 - 19,1288.0,2562.0,14071.0,4134.0,22054.0,22283.0,2015-02-16,18:00:00,0.3
2015-02-17,06 - 07,1339.0,2286.0,12414.0,3711.0,19749.0,20543.0,2015-02-17,06:00:00,0.7
2015-02-17,18 - 19,1330.0,2428.0,13912.0,4036.0,21705.0,22240.0,2015-02-17,18:00:00,1.0
2015-02-18,06 - 07,1519.0,2550.0,11701.0,3291.0,19061.0,19768.0,2015-02-18,06:00:00,4.0
2015-02-18,18 - 19,1560.0,2401.0,13355.0,3749.0,21064.0,21086.0,2015-02-18,18:00:00,4.1
2015-02-19,06 - 07,1280.0,2145.0,11321.0,3184.0,17929.0,19247.0,2015-02-19,06:00:00,5.7
2015-02-19,18 - 19,1542.0,2215.0,13019.0,3852.0,20628.0,21403.0,2015-02-19,18:00:00,5.4
2015-02-20,06 - 07,1239.0,2290.0,11193.0,3288.0,18010.0,19863.0,2015-02-20,06:00:00,4.3
2015-02-20,18 - 19,1247.0,2160.0,13102.0,3612.0,20120.0,22102.0,2015-02-20,18:00:00,2.9
2015-02-21,06 - 07,1040.0,1923.0,9850.0,2898.0,15711.0,17514.0,2015-02-21,06:00:00,2.2
2015-02-21,18 - 19,1263.0,2068.0,12073.0,3389.0,18792.0,20562.0,2015-02-21,18:00:00,1.3
2015-02-22,06 - 07,1164.0,1860.0,9873.0,2756.0,15651.0,17392.0,2015-02-22,06:00:00,0.5
2015-02-22,18 - 19,1287.0,2406.0,12166.0,3434.0,19293.0,20637.0,2015-02-22,18:00:00,2.0
